SampleID,FieldID,Date collected,Lat,Long,SamplingMethod,Month,Sector
KBIMP_002_F10,CBAY0028,24-Jul-24,69.132231,-104.988717,Sweep net,Jul,CBAY
KBIMP_002_F11,CBAY0028,24-Jul-24,69.132231,-104.988717,Sweep net,Jul,CBAY
KBIMP_004_G3,CBAY0040,28-Jul-24,69.120943,-105.042616,Sweep net,Jul,CBAY
KBIMP_004_G4,CBAY0040,28-Jul-24,69.120943,-105.042616,Sweep net,Jul,CBAY
KBIMP_004_G5,CBAY0040,28-Jul-24,69.120943,-105.042616,Sweep net,Jul,CBAY
KBIMP_004_G6,CBAY0040,28-Jul-24,69.120943,-105.042616,Sweep net,Jul,CBAY
KBIMP_004_G7,CBAY0040,28-Jul-24,69.120943,-105.042616,Sweep net,Jul,CBAY
KBIMP_004_G8,CBAY0040,28-Jul-24,69.120943,-105.042616,Sweep net,Jul,CBAY
KBIMP_004_G9,CBAY0040,28-Jul-24,69.120943,-105.042616,Sweep net,Jul,CBAY
KBIMP_004_G10,CBAY0040,28-Jul-24,69.120943,-105.042616,Sweep net,Jul,CBAY
KBIMP_004_G11,CBAY0040,28-Jul-24,69.120943,-105.042616,Sweep net,Jul,CBAY
KBIMP-_006_G7,CBAY0040,28-Jul-24,69.120943,-105.042616,Sweep net,Jul,CBAY
KBIMP_004_H1,CBAY0040,28-Jul-24,69.120943,-105.042616,Sweep net,Jul,CBAY
KBIMP_004_H2,CBAY0040,28-Jul-24,69.120943,-105.042616,Sweep net,Jul,CBAY
KBIMP_004_H3,CBAY0040,28-Jul-24,69.120943,-105.042616,Sweep net,Jul,CBAY
KBIMP_004_H4,CBAY0040,28-Jul-24,69.120943,-105.042616,Sweep net,Jul,CBAY
KBIMP_004_H5,CBAY0040,28-Jul-24,69.120943,-105.042616,Sweep net,Jul,CBAY
KBIMP_004_H6,CBAY0040,28-Jul-24,69.120943,-105.042616,Sweep net,Jul,CBAY
KBIMP_004_H7,CBAY0040,28-Jul-24,69.120943,-105.042616,Sweep net,Jul,CBAY
KBIMP_004_H8,CBAY0040,28-Jul-24,69.120943,-105.042616,Sweep net,Jul,CBAY
KBIMP_004_H9,CBAY0040,28-Jul-24,69.120943,-105.042616,Sweep net,Jul,CBAY
KBIMP-_006_G2,CBAY0040,28-Jul-24,69.120943,-105.042616,Sweep net,Jul,CBAY
KBIMP-_007_C4,KGLTK0020,24-Jul,67 48.2870,115 13.9394,SweepNet,Jul,KGLTK
KBIMP-_007_C5,KGLTK0020,24-Jul,67 48.2870,115 13.9394,SweepNet,Jul,KGLTK
KBIMP_002_D8,CBAY0022,25-Jul-24,69.132477,-104.988683,Sweep net,Jul,CBAY
KBIMP_002_D9,CBAY0022,25-Jul-24,69.132477,-104.988683,Sweep net,Jul,CBAY
KBIMP_002_D10,CBAY0022,25-Jul-24,69.132477,-104.988683,Sweep net,Jul,CBAY
KBIMP_002_D11,CBAY0022,25-Jul-24,69.132477,-104.988683,Sweep net,Jul,CBAY
