Sample,Date set,Date collected,Collector,Site,Sample type collection method,Lat,Long,Elevation (m),Habitat type,Sample current location,Notes,SHIPPING INFO,Specimen Count,OWNER,,,,
CBAY0001,17-Jun-24,21-Jun-24,"D. Nowosad, C. Lear",River between first lake and grenier lake ,Malaise trap,69.20079,-104.76914,17,River,CBG,Collected with #StudentsOnSTEAM,"""Shipped July 29 - 
express post - 
expected arrival 7
 business days
Tracking number: 
0690090155462225""",0,,,,,
CBAY0006,17-Jun-24,21-Jun-24,"D. Nowosad, C. Lear",River between first lake and grenier lake ,Malaise trap,69.20525,-104.78947,7,River,CBG,Collected with #StudentsOnSTEAM,"""Shipped July 29 - 
express post - 
expected arrival 7
 business days
Tracking number: 
0690090155462225""",1 adult black fly,,,,,
CBAY0003,,18-Jun-24,"D. Nowosad, C. Lear, O. Maksagak, K. Otokiak",Pond near first lake ,D-ring dipnet (250 micron),69.19431,-104.75409,20,Pond,CBG,Collected with #StudentsOnSTEAM,"Shipped July 30 - 
express post - 
expected arrival 7
 business days
Tracking number: 
0690090184988222",0,,,,,
CBAY0002,,18-Jun-24,"D. Nowosad, C. Lear, O. Maksagak, K. Otokiak",Pond near first lake ,Plankton net (64 micron),69.19431,-104.75409,20,Pond,CBG,Collected with #StudentsOnSTEAM,"""Shipped July 29 - 
express post - 
expected arrival 7
 business days
Tracking number: 
0690090155462225""",,,,,,
CBAY0008,,19-Jun-24,"D. Nowosad, C. Lear, O. Maksagak, K. Otokiak",Pond near first lake ,D-ring dipnet (250 micron),69.19431,-104.75409,20,Pond,CBG,Collected with #StudentsOnSTEAM,"Shipped July 30 - 
express post - 
expected arrival 7
 business days
Tracking number: 
0690090184988222",0,,,,,
CBAY0005,,19-Jun-24,"D. Nowosad, C. Lear, O. Maksagak, K. Otokiak",Pond near first lake ,Plankton net (64 micron),69.19431,-104.75409,20,Pond,CBG,Collected with #StudentsOnSTEAM,"""Shipped July 29 - 
express post - 
expected arrival 7
 business days
Tracking number: 
0690090155462225""",,,,,,
CBAY0010,,25-Jun-24,"D. Nowosad, S. Jacobs",Airport road pond,Plankton net (64 micron),69.11325,-105.08698,22,Pond,CBG,Re-sample from previous years,"Shipped July 30 - 
express post - 
expected arrival 7
 business days
Tracking number: 
0690090184988222",,,,,,
CBAY0011,,25-Jun-24,"D. Nowosad, S. Jacobs",Airport road pond,D-ring dipnet (250 micron),69.11325,-105.08698,22,Pond,CBG,Re-sample from previous years,"Shipped July 30 - 
express post - 
expected arrival 7
 business days
Tracking number: 
0690090184988222",0,,,,,
CBAY0015,,26-Jun-24,"D. Nowosad, D. Gillis",Pelly road ,D-ring dipnet (250 micron),69.15263,-104.91357,,Pond,CBG,Re-sample from previous years,"Shipped July 30 - 
express post - 
expected arrival 7
 business days
Tracking number: 
0690090184988222",0,,,,,
CBAY0012,,26-Jun-24,"D. Nowosad, D. Gillis",Pelly road ,Plankton net (64 micron),69.15263,-104.91357,,Pond,CBG,Re-sample from previous years,"Shipped July 30 - 
express post - 
expected arrival 7
 business days
Tracking number: 
0690090184988222",,,,,,
