catalogNumber,recordedBy,individualCount,lifeStage,preparations,kingdom,phylum,class,order,family,genus,specificEpithet,scientificNameAuthorship,scientificName,eventId,eventDate,beginDate,endDate,verbatimEventDate,continent,country,stateProvince,locality,latitude,longitude,verbatimLatitude,verbatimLongitude,samplingProtocol,eventRemarks
ROME206289,DC Currie; P. Schaefer,4,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,baffinense,"Twinn, 1936","Simulium baffinense Twinn, 1936",ROM002012216,2012-07-27,2012-07-27,2012-07-27,27 Jul 2012,North America,Canada,Nunavut,20m wide inflow into Byron Bay,68.9477167,-108.5011167,68°56.863'N,108°30.067'W,Aquatic,"Site 18:  wide braided stream. Clear, moderate flow, rock and grass substrate, 11°C"
ROME206290,DC Currie; P. Schaefer,1,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,baffinense,"Twinn, 1936","Simulium baffinense Twinn, 1936",ROM002012217,2012-07-27,2012-07-27,2012-07-27,27 Jul 2012,North America,Canada,Nunavut,1-2m wide inflow into Byron Bay,68.9448667,-108.5352167,68°56.692'N,108°32.113'W,Aquatic,"Site 19:  Clear, moderate flow, rock and grass substrate, 10°C"
ROME206291,DC Currie; P. Schaefer,2,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,baffinense,"Twinn, 1936","Simulium baffinense Twinn, 1936",ROM002012218,2012-07-28,2012-07-28,2012-07-28,28 Jul 2012,North America,Canada,Nunavut,0.5m wide pond outlet,69.7703,-108.15835,69°46.218'N,108°9.501'W,Aquatic,Site 20
ROME206292,DC Currie; P. Schaefer,2,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,baffinense,"Twinn, 1936","Simulium baffinense Twinn, 1936",ROM002012220,2012-07-28,2012-07-28,2012-07-28,28 Jul 2012,North America,Canada,Nunavut,1-2m wide tundra stream,69.7670167,-108.5492167,69°46.021'N,108°32.953'W,Aquatic,Site 22
ROME206293,DC Currie; P. Schaefer,3,Larvae; Pupae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,baffinense,"Twinn, 1936","Simulium baffinense Twinn, 1936",ROM002012223,2012-07-29,2012-07-29,2012-07-29,29 Jul 2012,North America,Canada,Nunavut,0.2m wide small lake inlet,69.8309,-105.7602167,69°49.854'N,105°45.613'W,Aquatic,"Site 25:  clear water, grassy substrate, slow to moderate flow, 7°C"
ROME206294,DC Currie; P. Schaefer,6,Larvae; Pupae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,baffinense,"Twinn, 1936","Simulium baffinense Twinn, 1936",ROM002012230,2012-07-31,2012-07-31,2012-07-31,31 Jul 2012,North America,Canada,Nunavut,4m wide inflow to Merkly Lake,69.8154833,-108.0124833,69°48.929'N,108°0.749'W,Aquatic,"Site 32:  rocky bottom stream, moderate flow, clear water, very productive, larvae mostly on trailing grass, some rock, 10°C"
ROME206295,DC Currie; P. Schaefer,2,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,baffinense,"Twinn, 1936","Simulium baffinense Twinn, 1936",ROM002012234,2012-08-01,2012-08-01,2012-08-01,1 Aug 2012,North America,Canada,Nunavut,0.5m wide river between 2 lakes,69.5538167,-103.3502833,69°33.229'N,103°21.017'W,Aquatic,"Site 36:  clear water, moderate flow"
ROME206296,DC Currie; P. Schaefer,100,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,baffinense,"Twinn, 1936","Simulium baffinense Twinn, 1936",ROM002012235,2012-08-01,2012-08-01,2012-08-01,1 Aug 2012,North America,Canada,Nunavut,0.1-0.2m wide trickle through grass,69.5423,-103.2988167,69°32.538'N,103°17.929'W,Aquatic,"Site 37:  slow flow, brown water, grass substrate"
ROME206297,DC Currie; P. Schaefer,100,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,baffinense,"Twinn, 1936","Simulium baffinense Twinn, 1936",ROM002012236,2012-08-01,2012-08-01,2012-08-01,1 Aug 2012,North America,Canada,Nunavut,0.1-0.2m wide trickle through grass,69.5426833,-103.2942167,69°32.561'N,103°17.653'W,Aquatic,"Site 38:  moderate flow, very deep, brown water, grass substrate"
ROME206298,P. Schaefer,50,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,baffinense,"Twinn, 1936","Simulium baffinense Twinn, 1936",ROM002010233,2010-07-19,2010-07-19,2010-07-19,19 Jul 2010,North America,Canada,Nunavut,"Pond outflow on Upperbase road, 75cm str",63.7811167,-68.5508667,63°46.867'N,68°33.052'W,,Simuliidae
