catalogNumber,recordedBy,individualCount,lifeStage,preparations,kingdom,phylum,class,order,family,genus,specificEpithet,scientificNameAuthorship,scientificName,eventId,eventDate,beginDate,endDate,verbatimEventDate,continent,country,stateProvince,locality,latitude,longitude,verbatimLatitude,verbatimLongitude,samplingProtocol,eventRemarks
ROME205220,P. Schaefer,100,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Cnephia,dacotenis,"(Dyar & Shannon, 1927)","Cnephia dacotenis (Dyar & Shannon, 1927)",ROM002010272,2010-07-03,2010-07-03,2010-07-03,3 Jul 2010,North America,Canada,Manitoba,Ramsay Creek at outlet of Ramsay Lake,58.7288167,-93.7832667,58°43.729'N,93°46.996'W,Aquatic,
ROME205221,P. Schaefer,30,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Cnephia,eremites,"Shewell, 1952","Cnephia eremites Shewell, 1952",ROM002011165,2011-06-08,2011-06-08,2011-06-08,8 Jun 2011,North America,Canada,Northwest Territories,"30cm Lake Outflow, km50 of Ingraham Trail",62.5262667,-113.8377167,62°31.576'N,113°50.263'W,General,
ROME205222,P. Schaefer,4,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Cnephia,eremites,"Shewell, 1952","Cnephia eremites Shewell, 1952",ROM002011167,2011-06-09,2011-06-09,2011-06-09,9 Jun 2011,North America,Canada,Northwest Territories,"2m brown water creek at crossing with Hwy.3, 15km west of Yellowknife",62.4764167,-114.97095,62°28.585'N,114°58.257'W,General,
ROME205223,P. Schaefer,8,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Cnephia,eremites,"Shewell, 1952","Cnephia eremites Shewell, 1952",ROM002011169,2011-06-09,2011-06-09,2011-06-09,9 Jun 2011,North America,Canada,Northwest Territories,"Beaver Pond Outflow, at crossing with Hwy.3, 28km west of Yellowknife",62.5245667,-115.2060667,62°31.474'N,115°12.364'W,General,
ROME205224,P. Schaefer,1,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Cnephia,eremites,"Shewell, 1952","Cnephia eremites Shewell, 1952",ROM002011172,2011-06-12,2011-06-12,2011-06-12,12 Jun 2011,North America,Canada,Northwest Territories,Hill Creek at crossing with Hwy.4,62.73565,-115.6958333,62°44.139'N,115°41.75'W,General,
ROME205225,P. Schaefer,60,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Cnephia,eremites,"Shewell, 1952","Cnephia eremites Shewell, 1952",ROM002011186,2011-07-08,2011-07-08,2011-07-08,8 Jul 2011,North America,Canada,Nunavut,"Cambridge Bay, Pond Outflow along DEW Line Rd",69.1580167,-105.1911667,69°9.481'N,105°11.47'W,General,
ROME205226,P. Schaefer,1,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Cnephia,eremites,"Shewell, 1952","Cnephia eremites Shewell, 1952",ROM002011190,2011-07-16,2011-07-16,2011-07-16,16 Jul 2011,North America,Canada,Nunavut,"Cambridge Bay, Small pond outflow on West Arm",69.0993167,-105.2226833,69°5.959'N,105°13.361'W,General,
ROME205227,P. Schaefer,100,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Cnephia,eremites,"Shewell, 1952","Cnephia eremites Shewell, 1952",ROM002011191,2011-07-12,2011-07-12,2011-07-12,12 Jul 2011,North America,Canada,Nunavut,"Cambridge Bay, Ice melt flow into ocean along beach E. town",69.08735,-104.9389167,69°5.241'N,104°56.335'W,General,
ROME205228,P. Schaefer,150,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Cnephia,eremites,"Shewell, 1952","Cnephia eremites Shewell, 1952",ROM002011192,2011-07-13,2011-07-13,2011-07-13,13 Jul 2011,North America,Canada,Nunavut,"Cambridge Bay, Small ice melt stream into ocean next to large river west of town",69.1448667,-105.4879333,69°8.692'N,105°29.276'W,General,
ROME205229,P. Schaefer,300,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Cnephia,eremites,"Shewell, 1952","Cnephia eremites Shewell, 1952",ROM002011196,2011-07-16,2011-07-16,2011-07-16,16 Jul 2011,North America,Canada,Nunavut,"Cambridge Bay, Pond outflow 1km west of town, near golf course",69.1115833,-105.0882333,69°6.695'N,105°5.294'W,General,
