Species,CBAY_allbf,KGLTK_allbf
Stegopterna emergens,1,1
Simulium venustum complex,1,1
Simulium tuberosum,1,1
Simulium arcticum complex,0,1
Simulium verecundum,1,1
Simulium anatinum/randal ense,0,1
Simulium murmanum,0,1
Simulium noelleri,0,1
Simulium silvestre,1,1
Simulium furculatum,1,1
Simulium subpusillum,1,1
Simulium nigricoxum,1,1
Simulium excisum,0,1
Simulium craigi,1,1
Simulium congareenarum,0,1
Simulium bracteatum,0,1
Simulium bicorne,0,1
Simulium baffinese,1,0
Simulium usovae,0,1
Simulium tormentor,1,0
Simulium rostratum,1,0
Simulium giganteum,1,0
Helodon decemarticulatus,1,0
Helodon irkutensis,1,0
Metacnephia saskatchewana,1,0
Metacnephia borealis,1,0
Metacnephia bilineata,0,1
Cnephia eremites,1,1
Greniera abditoides,0,1
Gymnopais holopticoides,1,0
,,
