"Query ID","PID [BIN]","Phylum","Class","Order","Family","Subfamily","Tribe","Genus","Species","Indels","ID%"
"CBAY0025_BF_A","ECIPY182-10[BOLD:AAB3041]","Arthropoda","Insecta","Diptera","Simuliidae","Simuliinae","Simuliini","Metacnephia","","0","100.00"
"CBAY0025_BF_A","BCHAR912-18[BOLD:AAB3041]","Arthropoda","Insecta","Diptera","Simuliidae","Simuliinae","Simuliini","Metacnephia","Metacnephia borealis","0","100.00"
"CBAY0025_BF_A","DNARB2082-23[BOLD:AAB3041]","Arthropoda","Insecta","Diptera","Simuliidae","Simuliinae","Simuliini","Metacnephia","Metacnephia borealis","0","100.00"
"CBAY0025_BF_A","DNARB2088-23[BOLD:AAB3041]","Arthropoda","Insecta","Diptera","Simuliidae","Simuliinae","Simuliini","Metacnephia","Metacnephia borealis","0","100.00"
"CBAY0025_BF_A","DNARB2319-23[BOLD:AAB3041]","Arthropoda","Insecta","Diptera","Simuliidae","Simuliinae","Simuliini","Metacnephia","Metacnephia borealis","0","100.00"
"CBAY0025_BF_A","DNARB2511-23[BOLD:AAB3041]","Arthropoda","Insecta","Diptera","Simuliidae","Simuliinae","Simuliini","Metacnephia","Metacnephia borealis","0","100.00"
"CBAY0025_BF_A","DNARB3710-23[BOLD:AAB3041]","Arthropoda","Insecta","Diptera","Simuliidae","Simuliinae","Simuliini","Metacnephia","Metacnephia borealis","0","100.00"
"CBAY0025_BF_A","FCHAR4863-19[BOLD:AAB3041]","Arthropoda","Insecta","Diptera","Simuliidae","Simuliinae","Simuliini","Metacnephia","Metacnephia borealis","0","100.00"
"CBAY0025_BF_A","FCHAR9102-19[BOLD:AAB3041]","Arthropoda","Insecta","Diptera","Simuliidae","Simuliinae","Simuliini","Metacnephia","Metacnephia borealis","0","100.00"
"CBAY0025_BF_A","FCHAR9123-19[BOLD:AAB3041]","Arthropoda","Insecta","Diptera","Simuliidae","Simuliinae","Simuliini","Metacnephia","Metacnephia borealis","0","100.00"
"CBAY0025_BF_A","MCHAB940-19[BOLD:AAB3041]","Arthropoda","Insecta","Diptera","Simuliidae","Simuliinae","Simuliini","Metacnephia","Metacnephia borealis","0","100.00"
"CBAY0025_BF_A","MCHAC498-19[BOLD:AAB3041]","Arthropoda","Insecta","Diptera","Simuliidae","Simuliinae","Simuliini","Metacnephia","Metacnephia borealis","0","100.00"
"CBAY0025_BF_A","MCHAC528-19[BOLD:AAB3041]","Arthropoda","Insecta","Diptera","Simuliidae","Simuliinae","Simuliini","Metacnephia","Metacnephia borealis","0","100.00"
"CBAY0025_BF_A","MCHAD1417-19[BOLD:AAB3041]","Arthropoda","Insecta","Diptera","Simuliidae","Simuliinae","Simuliini","Metacnephia","Metacnephia borealis","0","100.00"
"CBAY0025_BF_A","MCHAD605-19[BOLD:AAB3041]","Arthropoda","Insecta","Diptera","Simuliidae","Simuliinae","Simuliini","Metacnephia","Metacnephia borealis","0","100.00"
"CBAY0025_BF_A","POLCO7646-20[BOLD:AAB3041]","Arthropoda","Insecta","Diptera","Simuliidae","Simuliinae","Simuliini","Metacnephia","Metacnephia borealis","0","100.00"
"CBAY0025_BF_A","ECIPY178-10[BOLD:AAB3041]","Arthropoda","Insecta","Diptera","Simuliidae","Simuliinae","Simuliini","Metacnephia","","0","99.85"
"CBAY0025_BF_A","ECIPY179-10[BOLD:AAB3041]","Arthropoda","Insecta","Diptera","Simuliidae","Simuliinae","Simuliini","Metacnephia","","0","99.85"
"CBAY0025_BF_A","ACHAR1485-18[BOLD:AAB3041]","Arthropoda","Insecta","Diptera","Simuliidae","Simuliinae","Simuliini","Metacnephia","Metacnephia borealis","0","99.85"
"CBAY0025_BF_A","DNARB3698-23[BOLD:AAB3041]","Arthropoda","Insecta","Diptera","Simuliidae","Simuliinae","Simuliini","Metacnephia","Metacnephia borealis","0","99.85"
"CBAY0025_BF_A","FCHAR9056-19[BOLD:AAB3041]","Arthropoda","Insecta","Diptera","Simuliidae","Simuliinae","Simuliini","Metacnephia","Metacnephia borealis","0","99.85"
"CBAY0025_BF_A","FCHAR9058-19[BOLD:AAB3041]","Arthropoda","Insecta","Diptera","Simuliidae","Simuliinae","Simuliini","Metacnephia","Metacnephia borealis","0","99.85"
"CBAY0025_BF_A","FCHAR9124-19[BOLD:AAB3041]","Arthropoda","Insecta","Diptera","Simuliidae","Simuliinae","Simuliini","Metacnephia","Metacnephia borealis","0","99.85"
"CBAY0025_BF_A","MCHAD657-19[BOLD:AAB3041]","Arthropoda","Insecta","Diptera","Simuliidae","Simuliinae","Simuliini","Metacnephia","Metacnephia borealis","0","99.85"
"CBAY0025_BF_A","MCHAD837-19[BOLD:AAB3041]","Arthropoda","Insecta","Diptera","Simuliidae","Simuliinae","Simuliini","Metacnephia","Metacnephia borealis","0","99.85"
"CBAY0028_BF_A","ACHAR1485-18[BOLD:AAB3041]","Arthropoda","Insecta","Diptera","Simuliidae","Simuliinae","Simuliini","Metacnephia","Metacnephia borealis","0","100.00"
"CBAY0028_BF_A","BCHAR2040-18[BOLD:AAB3041]","Arthropoda","Insecta","Diptera","Simuliidae","Simuliinae","Simuliini","Metacnephia","Metacnephia borealis","0","100.00"
"CBAY0028_BF_A","DNARB2042-23[BOLD:AAB3041]","Arthropoda","Insecta","Diptera","Simuliidae","Simuliinae","Simuliini","Metacnephia","Metacnephia borealis","0","100.00"
"CBAY0028_BF_A","DNARB2077-23[BOLD:AAB3041]","Arthropoda","Insecta","Diptera","Simuliidae","Simuliinae","Simuliini","Metacnephia","Metacnephia borealis","0","100.00"
"CBAY0028_BF_A","DNARB2196-23[BOLD:AAB3041]","Arthropoda","Insecta","Diptera","Simuliidae","Simuliinae","Simuliini","Metacnephia","Metacnephia borealis","0","100.00"
"CBAY0028_BF_A","DNARB224-23[BOLD:AAB3041]","Arthropoda","Insecta","Diptera","Simuliidae","Simuliinae","Simuliini","Metacnephia","Metacnephia borealis","0","100.00"
"CBAY0028_BF_A","DNARB2298-23[BOLD:AAB3041]","Arthropoda","Insecta","Diptera","Simuliidae","Simuliinae","Simuliini","Metacnephia","Metacnephia borealis","0","100.00"
"CBAY0028_BF_A","DNARB2331-23[BOLD:AAB3041]","Arthropoda","Insecta","Diptera","Simuliidae","Simuliinae","Simuliini","Metacnephia","Metacnephia borealis","0","100.00"
"CBAY0028_BF_A","DNARB3644-23[BOLD:AAB3041]","Arthropoda","Insecta","Diptera","Simuliidae","Simuliinae","Simuliini","Metacnephia","Metacnephia borealis","0","100.00"
"CBAY0028_BF_A","DNARB3695-23[BOLD:AAB3041]","Arthropoda","Insecta","Diptera","Simuliidae","Simuliinae","Simuliini","Metacnephia","Metacnephia borealis","0","100.00"
"CBAY0028_BF_A","DNARB3698-23[BOLD:AAB3041]","Arthropoda","Insecta","Diptera","Simuliidae","Simuliinae","Simuliini","Metacnephia","Metacnephia borealis","0","100.00"
"CBAY0028_BF_A","DNARB617-23[BOLD:AAB3041]","Arthropoda","Insecta","Diptera","Simuliidae","Simuliinae","Simuliini","Metacnephia","Metacnephia borealis","0","100.00"
"CBAY0028_BF_A","DNARB619-23[BOLD:AAB3041]","Arthropoda","Insecta","Diptera","Simuliidae","Simuliinae","Simuliini","Metacnephia","Metacnephia borealis","0","100.00"
"CBAY0028_BF_A","DNARB626-23[BOLD:AAB3041]","Arthropoda","Insecta","Diptera","Simuliidae","Simuliinae","Simuliini","Metacnephia","Metacnephia borealis","0","100.00"
